Provider,ETF Name,Ticker
10X,10X All Asia Actively Managed Exchange Traded Fund,APACXJ
10X,10X DivTrax ETF,DIVTRX
10X,10X Income Actively Managed Exchange Traded Fund,INCOME
10X,10X S&P 500 ETF,CSP500
10X,10X S&P Global Dividend ETF,GLODIV
10X,10X S&P Global Property ETF,GLPROP
10X,10X SA Property Income ETF,CSPROP
10X,10X Scientific Beta Multi Factor ETF,SMART
10X,10X Top50 ETF,CTOP50
10X,10X Total World ETF,GLOBAL
10X,10X Wealth Govi Bond,CSGOVI
10X,10X Yield Selected Bond ETF,CSYSB
1nvest,1nvest Global Govt Bond ETF,ETFGGB
1nvest,1nvest Global REIT Index ETF,ETFGRE
1nvest,1nvest ICE US Treasury Short Bond Index Feeder ETF,ETFUSD
1nvest,1nvest MSCI EM Asia Index Feeder ETF,ETFEMA
1nvest,1nvest MSCI World Index ETF,ETFWLD
1nvest,1nvest MSCI World Socially Responsible Investment Index Feeder ETF,ETFSRI
1nvest,1nvest S&P 500 Index Feeder ETF,ETF500
1nvest,1nvest S&P 500 Info Tech ETF,ETF5IT
1nvest,1nvest SA Bond,ETFBND
1nvest,1nvest SA Property ETF,ETFSAP
1nvest,1nvest Top 40 ETF,ETFT40
Cartesian,Cartesian EasyETFs Balanced Actively Managed ETF,EASYBAL
EasyETFs,EasyETFs AI World Actively Managed ETF,EASYAI
EasyETFs,EasyETFs Balanced Actively Managed ETF,EASYB
EasyETFs,EasyETFs Global Equity Actively Managed ETF,EASYGE
ETFSA,ETFSA Balanced Foundation Prescient AMETF,ETFBAF
FNB,FNB Global 1200 Equity Fund of Funds ETF,FNBGLO
FNB,FNB Inflation ETF,FNBINF
FNB,FNB MidCap ETF,FNBMID
FNB,FNB Top40 ETF,FNB40
FNB,FNB World Government Bond ETF,FNBWGB
PortfolioMetrix,PortfolioMetrix Active Income Prescient AMETF,PMXINC
Prescient,Prescient Income Provider Feeder AMETF,PIPF
Reitway,Reitway Global Property ETF,REITGP
Satrix,Satrix 40 ETF,STX40
Satrix,Satrix Capped All Share ETF,STXCAP
Satrix,Satrix DIVI ETF,STXDIV
Satrix,Satrix FINI ETF,STXFIN
Satrix,Satrix Global Aggregate Bond,STXGBD
Satrix,Satrix Global Infrastructure ETF,STXINF
Satrix,Satrix GOVI ETF,STXGOV
Satrix,Satrix Healthcare Innovation Feeder ETF,STXHLT
Satrix,Satrix Inclusion and Diversity ETF,STXID
Satrix,Satrix INDI ETF,STXIND
Satrix,Satrix Inflation-linked Bond ETF,STXILB
Satrix,Satrix Low Volatility ETF,STXLVL
Satrix,Satrix MAPPS Growth,STXMAP
Satrix,Satrix MAPPS Protect,STXMPF
Satrix,Satrix Momentum ETF,STXMMT
Satrix,Satrix MSCI China ETF,STXCHN
Satrix,Satrix MSCI EM ESG Enhanced,STXEME
Satrix,Satrix MSCI Emerging Markets ETF,STXEMG
Satrix,Satrix MSCI India Feeder ETF,STXINDI
Satrix,Satrix MSCI World ESG Enhanced,STXWESG
Satrix,Satrix MSCI World ETF,STXWDM
Satrix,Satrix Nasdaq 100,STXNDQ
Satrix,Satrix Property ETF,STXPRO
Satrix,Satrix Quality South Africa ETF,STXQUA
Satrix,Satrix RAFI 40 ETF,STXRAF
Satrix,Satrix RESI ETF,STXRES
Satrix,Satrix S&P 500,STX500
Satrix,Satrix S&P Namibia Bond ETF,STXNAM
Satrix,Satrix SA Bond ETF,STXGOV
Satrix,Satrix Shari'ah Top 40 ETF,STXSHA
Satrix,Satrix Smart City Feeder ETF,STXSCF
Satrix,Satrix SWIX Top 40 ETF,STXSWX
Satrix,Satrix TRACI 3 Month ETF,STXTRC
Satrix,Satrix Value Equity ETF,STXVLE
Sygnia Itrix,Sygnia Itrix 4th Industrial Revolution,SYG4IR
Sygnia Itrix,Sygnia Itrix EUROSTOXX50 ETF,SYGEU
Sygnia Itrix,Sygnia Itrix FTSE100 ETF,SYGUK
Sygnia Itrix,Sygnia Itrix Global Property ETF,SYGP
Sygnia Itrix,Sygnia Itrix MSCI Emerging Markets 50 ETF,SYGEMF50
Sygnia Itrix,Sygnia Itrix MSCI Japan ETF,SYGJP
Sygnia Itrix,Sygnia Itrix MSCI US ETF,SYGUS
Sygnia Itrix,Sygnia Itrix MSCI World ETF,SYGWD
Sygnia Itrix,Sygnia Itrix New China Sectors ETF,SYGCN
Sygnia Itrix,Sygnia Itrix S&P 500 ETF,SYG500
Sygnia Itrix,Sygnia Itrix S&P Global 1200 ESG ETF,SYGESG
Sygnia Itrix,Sygnia Itrix Solactive Healthcare 150 ETF,SYGHLT
Sygnia Itrix,Sygnia Itrix Top 40 ETF,SYGT40
